,poolId,blockHeight,networkDifficulty,status,confirmationProgress,effort,transactionConfirmationData,reward,infoLink,hash,miner,source,created
92,ErgoSigmanauts,1255346,357499.65958849795,confirmed,1,3.4071613179349773,5d7d262a38462eea,27.0142,https://explorer.ergoplatform.com/en/blocks/bd266bae758a28e87febe7e3c153aa8e83fb5469825cf63a8e61eaea0ec2a8f1,bd266bae758a28e87febe7e3c153aa8e83fb5469825cf63a8e61eaea0ec2a8f1,9fjQi1JrgFZ9QBKGbE7EYDwUwAvGUk95Wa92kV2D4EnggNcnMzN,ErgoSigmanauts,2024-05-02T01:51:57.737091Z
93,ErgoSigmanauts,1254452,316164.20445438486,confirmed,1,0.9335175991043712,57a2001bc2abe48d,27.0302,https://explorer.ergoplatform.com/en/blocks/7429df60dc422dab845bc9eb18d073d1e95f4b97a439b39a2797608d27c4b604,7429df60dc422dab845bc9eb18d073d1e95f4b97a439b39a2797608d27c4b604,9ehJZvPDgvCNNd2zTQHxnSpcCAtb1kHbEN1VAgeoRD5DPVApYkk,ErgoSigmanauts,2024-04-30T20:36:00.606666Z
94,ErgoSigmanauts,1254265,386513.22678009595,confirmed,1,3.1596791418592494,501090b5ff36737c,27.019860101,https://explorer.ergoplatform.com/en/blocks/0e48a40b9cdffafc5448cf5c0255a5baa96cd88292bf2a11b856e6e3e47956af,0e48a40b9cdffafc5448cf5c0255a5baa96cd88292bf2a11b856e6e3e47956af,9h6bjuzth7XDNeBxwFjpYSfmUkfBiepE8MGJcvmsVkeCtGYYYAb,ErgoSigmanauts,2024-04-30T12:52:07.247035Z
95,ErgoSigmanauts,1253410,354831.65524982265,confirmed,1,1.04586555676699,580c001f31e4fd3a,27.0,https://explorer.ergoplatform.com/en/blocks/7a3bf34be6481b99c1f3f4aa9364c4b48a287d45156f36fd366f626245429cec,7a3bf34be6481b99c1f3f4aa9364c4b48a287d45156f36fd366f626245429cec,9i8wsL9HYe4wRtuxXtnvki31uGJd6avKoQ79BXbz2sHWNZSKz8K,ErgoSigmanauts,2024-04-29T08:20:04.699821Z
96,ErgoSigmanauts,1253118,362089.4819873224,confirmed,1,0.6478742762045496,50239669e1ac4af8,27.0,https://explorer.ergoplatform.com/en/blocks/44167cd62e4406f726826b15a0fcf6e843fade6c44510264e1d37a26c47e0b65,44167cd62e4406f726826b15a0fcf6e843fade6c44510264e1d37a26c47e0b65,9i3P4Ah9jp7nnSNMg6gxjXXHEWjkkBbPJR5RLRkMwEt3DZZGLDL,ErgoSigmanauts,2024-04-28T23:18:22.037078Z
97,ErgoSigmanauts,1252956,390351.0763941403,confirmed,1,0.11251740112384388,57f9f469dba977c3,27.0092,https://explorer.ergoplatform.com/en/blocks/d009bdd64433367b30dcf2493ccfa43329d2383ca288b008e537c8ca66f91171,d009bdd64433367b30dcf2493ccfa43329d2383ca288b008e537c8ca66f91171,9fxwXaXp7x3i8gzfZ5zqMJJK1DbtyUeVGQL3mBaCg2cB8yn2ewV,ErgoSigmanauts,2024-04-28T17:16:48.889147Z
98,ErgoSigmanauts,1252929,390351.0763941403,confirmed,1,0.3130735048460751,5016a01340d6b9ba,27.653128991,https://explorer.ergoplatform.com/en/blocks/881144c4c46b08e39d59817863da508be56c215eafb8eb4b9400d1882a70c092,881144c4c46b08e39d59817863da508be56c215eafb8eb4b9400d1882a70c092,9fRQ8iCiCZekAewtjHmu7AmucWjvBTNUMeBFtnNkpfyWsNLUuxo,ErgoSigmanauts,2024-04-28T16:09:49.964699Z
99,ErgoSigmanauts,1252840,350627.7048399287,confirmed,1,0.9642280477704427,57f1000efc558ff1,27.0192,https://explorer.ergoplatform.com/en/blocks/9395fce740c65f238690a5639a2938e0bce75b8a28b0654732687125c0a17dc8,9395fce740c65f238690a5639a2938e0bce75b8a28b0654732687125c0a17dc8,9hNJcmkKcMmrphpc12deJJi6gNcgiX269VEEZCCgLVBPiETigVb,ErgoSigmanauts,2024-04-28T12:59:58.223129Z
100,ErgoSigmanauts,1252559,422881.6589500178,confirmed,1,0.017699607118926087,56dcc160776a8a71,27.0221,https://explorer.ergoplatform.com/en/blocks/f12b63d2743427539774bdc9f76bb207fa7a82b659cfa4a7a4ce7fecc67517ea,f12b63d2743427539774bdc9f76bb207fa7a82b659cfa4a7a4ce7fecc67517ea,9hSk13XDU8keWAp3KxKSgUVCkfDcw577jAjM6SgbRpuYeL8ygPH,ErgoSigmanauts,2024-04-28T03:06:52.686688Z
101,ErgoSigmanauts,1252553,422881.6589500178,confirmed,1,1.856881906511891,50230ed620a8fa0b,27.0,https://explorer.ergoplatform.com/en/blocks/9d7544bf89b699e7d31eaf49c4b8610d62d6545c1de9d20cd8c34515db186f1a,9d7544bf89b699e7d31eaf49c4b8610d62d6545c1de9d20cd8c34515db186f1a,9i3P4Ah9jp7nnSNMg6gxjXXHEWjkkBbPJR5RLRkMwEt3DZZGLDL,ErgoSigmanauts,2024-04-28T02:55:03.389136Z
102,ErgoSigmanauts,1251978,380358.28588547616,confirmed,1,0.11252521232704006,50a3000448228642,27.001,https://explorer.ergoplatform.com/en/blocks/58be0effcc39dc7fc6bbc745acfd627ff3e30eab98668c39ddc51ed6655bdaff,58be0effcc39dc7fc6bbc745acfd627ff3e30eab98668c39ddc51ed6655bdaff,9i8wsL9HYe4wRtuxXtnvki31uGJd6avKoQ79BXbz2sHWNZSKz8K,ErgoSigmanauts,2024-04-27T07:59:45.328901Z
103,ErgoSigmanauts,1251939,366775.4434968024,confirmed,1,0.2447789619711702,502468dac3622052,27.0182,https://explorer.ergoplatform.com/en/blocks/a4dc120a4aa17097a163160eeb41c3dba31780f40864912d7c7aabb177835492,a4dc120a4aa17097a163160eeb41c3dba31780f40864912d7c7aabb177835492,9i3P4Ah9jp7nnSNMg6gxjXXHEWjkkBbPJR5RLRkMwEt3DZZGLDL,ErgoSigmanauts,2024-04-27T06:54:45.932437Z
104,ErgoSigmanauts,1251871,366775.4434968024,confirmed,1,1.0399307947333822,50d8fd9c81187de2,27.0088,https://explorer.ergoplatform.com/en/blocks/2be39f033f12f55638a0e9a8755b7f96b73d15b948990cc640d0445ffde283d0,2be39f033f12f55638a0e9a8755b7f96b73d15b948990cc640d0445ffde283d0,9fxwXaXp7x3i8gzfZ5zqMJJK1DbtyUeVGQL3mBaCg2cB8yn2ewV,ErgoSigmanauts,2024-04-27T04:31:16.88003Z
105,ErgoSigmanauts,1251567,388383.1565472275,confirmed,1,0.261117167239577,555f000b343364e4,27.0051,https://explorer.ergoplatform.com/en/blocks/f826ef482455161ca689de707f3c239b3ca8a6e7360a2c0e15c2ee5917924205,f826ef482455161ca689de707f3c239b3ca8a6e7360a2c0e15c2ee5917924205,9g4f585vPtgA5PKhSRcaPBhtfW3HYRw2qe3aemxxnD5Y1KiopyX,ErgoSigmanauts,2024-04-26T18:24:58.968673Z
106,ErgoSigmanauts,1251499,388383.1565472275,confirmed,1,6.396078876437533,507971cae2ee4a18,27.0042,https://explorer.ergoplatform.com/en/blocks/c7c63f408c339ae4482914cbb8e93ad48b17defd20ec90dad8fa052194fd9b92,c7c63f408c339ae4482914cbb8e93ad48b17defd20ec90dad8fa052194fd9b92,9fHLdYBz5fPdDfMkGMfAsuj6EfXCpmM4GkamT23xeT3hzdHbNJx,ErgoSigmanauts,2024-04-26T16:00:40.562369Z
107,ErgoSigmanauts,1249527,315887.249575942,confirmed,1,0.3415274071469896,50164a42c64cc4f1,27.0151,https://explorer.ergoplatform.com/en/blocks/4fea81e1a1a823f1c395a7d0757208381c9f6da4f68b832ea427fdd71f51ce30,4fea81e1a1a823f1c395a7d0757208381c9f6da4f68b832ea427fdd71f51ce30,9fRQ8iCiCZekAewtjHmu7AmucWjvBTNUMeBFtnNkpfyWsNLUuxo,ErgoSigmanauts,2024-04-23T22:19:10.035643Z
108,ErgoSigmanauts,1249440,315887.249575942,confirmed,1,0.019216229603572575,50187b62b18da535,27.01,https://explorer.ergoplatform.com/en/blocks/224c94abcd0ffa48553f6988c34bcb92c2490e76861f1c567645389fb2ab9d09,224c94abcd0ffa48553f6988c34bcb92c2490e76861f1c567645389fb2ab9d09,9f3FRr4XudxVs1V35At1X5yj7LmQmnWqG46LqFKVNRf2TuYsAik,ErgoSigmanauts,2024-04-23T19:17:03.547762Z
109,ErgoSigmanauts,1249432,315887.249575942,confirmed,1,0.6392272577985045,5057d49b44b4ed21,27.0122,https://explorer.ergoplatform.com/en/blocks/acb0c18d072bc0fc0d0e69e95cb07ba996b53ef0ac669ab479bc3ff0c46ecec8,acb0c18d072bc0fc0d0e69e95cb07ba996b53ef0ac669ab479bc3ff0c46ecec8,9eZVqXVnrVWQKK19b7E7kp4ZyNqanp2z1mpKUJRaouNsmeFsakQ,ErgoSigmanauts,2024-04-23T19:06:49.109889Z
110,ErgoSigmanauts,1249230,361687.59735017776,confirmed,1,1.2624304018884833,1bdb3e4628f615be,27.0063,https://explorer.ergoplatform.com/en/blocks/2f38ffbece540e4177f81615ad3130929dbf1855fcccffb1337cf75a75cb9169,2f38ffbece540e4177f81615ad3130929dbf1855fcccffb1337cf75a75cb9169,9ggYKoC58jQkbGNhCKqcLMsuK3qCE5ieqTPx28KrY5jJ5SemSuT,ErgoSigmanauts,2024-04-23T12:18:50.405507Z
