,Time Found,blockHeight,effort,status,confirmationProgress,reward,miner,networkDifficulty,my_wallet,Response
1,2024-03-16 06:45:27,1221911,2.86749,confirmed,1,30.0071,9iQS2...bL3fJ,421209.62261050055,False,2.86749
0,2024-03-19 04:19:20,1223980,0.89551,confirmed,1,30.007862,9i8ws...SKz8K,416310.69022704655,False,1.8815
